spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012271154,[M+H]1+,196.108,AMINOMETRADINE,NGXUUAFYUCOICP,O=c1cc[nH]c(=O)[nH]1
CCMSLIB00012271155,[M+H]1+,695.342,Nemifitide,SGXPTOACEHQGHL,O=C(CNC(=O)CNC(=O)C1CCCN1C(=O)CCc1ccccc1)NCCc1c[nH]c2ccccc12
CCMSLIB00012271156,[M+H]1+,206.14,trapidil,GSNOZLZNQMLSKJ,c1cnc2ncnn2c1
CCMSLIB00012271157,[M+H]1+,206.14,trapidil,GSNOZLZNQMLSKJ,c1cnc2ncnn2c1
CCMSLIB00012271159,[M-H2O+H]1+,744.259,Trabectedin,PKVRCIRHQMSYJX,O=C1OCC2c3c(ccc4c3OCO4)C(SCC13NCCc1ccccc13)C1C3NC(Cc4ccccc43)CN21
CCMSLIB00012271160,[M+H]1+,762.269,Trabectedin,PKVRCIRHQMSYJX,O=C1OCC2c3c(ccc4c3OCO4)C(SCC13NCCc1ccccc13)C1C3NC(Cc4ccccc43)CN21
CCMSLIB00012271161,[M+H]1+,240.15,BMS-505130 free base,DEMWBYUAYXJYOC,c1ccc2c(C3CC3)c[nH]c2c1
CCMSLIB00012271162,[M+H]1+,574.233,MET-enkephalin,YFGBQHOOROIVKG,O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1
CCMSLIB00012271163,[M+H]1+,206.14,trapidil,GSNOZLZNQMLSKJ,c1cnc2ncnn2c1
CCMSLIB00012271164,[M+H]1+,231.074,Fluminorex,NMGYDYBWRZHLHR,N=C1NCC(c2ccccc2)O1
CCMSLIB00012271165,[M+H]1+,231.074,Fluminorex,NMGYDYBWRZHLHR,N=C1NCC(c2ccccc2)O1
CCMSLIB00012271168,[M+H]1+,749.516,azithromycin,MQTOSJVFKKJCRP,O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1
CCMSLIB00012271169,[M+H]1+,237.079,CHEMBL133231,OAXNLMLMEYQSSS,N=C1NC2(CCc3ccccc3C2)CO1
CCMSLIB00012271170,[M+H]1+,485.335,BMS-813160,CMVHFGNTABZQJU,O=C1C(Nc2ncnc3ccnn23)CCN1C1CCCCC1
CCMSLIB00012271171,[M+H]1+,485.335,BMS-813160,CMVHFGNTABZQJU,O=C1C(Nc2ncnc3ccnn23)CCN1C1CCCCC1
CCMSLIB00012271172,[M+Na]1+,507.317,BMS-813160,CMVHFGNTABZQJU,O=C1C(Nc2ncnc3ccnn23)CCN1C1CCCCC1
CCMSLIB00012271173,[M+H]1+,443.29,Mazipredone,CPPZOCROAYODPG,O=C1C=CC2C(=CCC3C2CCC2C(C(=O)CN4CCNCC4)CCC23)C1
CCMSLIB00012271174,[M+H]1+,443.29,Mazipredone,CPPZOCROAYODPG,O=C1C=CC2C(=CCC3C2CCC2C(C(=O)CN4CCNCC4)CCC23)C1
CCMSLIB00012271175,[M+H]1+,231.074,Fluminorex,NMGYDYBWRZHLHR,N=C1NCC(c2ccccc2)O1
CCMSLIB00012271178,[M+H]1+,393.171,Mardepodect,AZEXWHKOMMASPA,c1ccc2nc(COc3ccc(-c4n[nH]cc4-c4ccncc4)cc3)ccc2c1
CCMSLIB00012271179,[M+H]1+,393.171,Mardepodect,AZEXWHKOMMASPA,c1ccc2nc(COc3ccc(-c4n[nH]cc4-c4ccncc4)cc3)ccc2c1
