group_key,g_hat,g_var,weight,split
PZBLUWVMZMXIKZ,0.46076230160440135,0.021172907994304695,0.31117538417852225,train
PZBPKYOVPCNPJY,0.9690803166153411,0.004410884432379541,1.4936885969941347,train
PZRHRDRVRGEVNW,2.9407624328819857,0.00422632818358199,1.5589153262869069,valid
PZYDAVFRVJXFHS,1.3682025916380216,0.004355505111635847,1.512680529682527,valid
QAHFOPIILNICLA,1.3510514554230553,0.004355505111635656,1.5126805296825934,train
QASFUMOKHFSJGL,0.7703754641156091,0.031125044190087183,0.21167802169426617,test
QCAWEPFNJXQPAN,0.21350522502542402,0.003527528383932609,1.867734873322039,train
QEGVVEOAVNHRAA,1.3924654808140007,0.003055863083126979,2.156015371134512,train
QEVHRUUCFGRFIF,0.5428992199076658,0.004333659309071582,1.5203058914928287,valid
QGHREAKMXXNCOA,0.4555944982277059,0.018739272751899568,0.3515871649093962,train
QGWIQIAWOCJRPI,0.5288416966520654,0.00433365930907254,1.5203058914924927,valid
QHMTXANCGGJZRX,0.9027490546935163,0.008710136735530753,0.756416113702123,valid
QIKYZXDTTPVVAC,2.6420103381824402,0.004587015922354405,1.4363341856294571,train
QIWQQMZFTOCFGF,1.7923412227323905,0.01021000197285924,0.6452974051149187,train
QJACRCAPQIYMIH,0.4508571025939237,0.018739272751893993,0.35158716490950076,valid
QLHULAHOXSSASE,0.6386367601123611,0.038982293227691235,0.16901231902447722,test
QMGVPVSNSZLJIA,1.986154529385317,0.004016797303361891,1.6402340675218985,train
QNXAVFXEJCPCJO,0.5510946591507624,0.015607389276782888,0.42213900495870355,test
QPFYXYFORQJZEC,1.366900960160721,0.004355505111635656,1.5126805296825934,train
QPQKUYVSJWQSDY,1.0360524846610337,0.002889034257045351,2.2805156301754588,train
QRUDEWIWKLJBPS,3.002903412651306,0.00969044450753653,0.679895310703262,valid
QUAMTGJKVDWJEQ,0.6738635035604281,0.00461775173882447,1.4267739263482977,train
QULLOTSYPAOTIW,0.542733139854081,0.004333659309072189,1.520305891492616,test
QWGDMFLQWFTERH,1.9029564790176878,0.004106206675621125,1.6045192801474515,test
QXKHYNVANLEOEG,2.4909210637701804,0.010200286275471914,0.6459120461302399,valid
QXWJDGMLSMFETH,0.2088696744281511,0.003527528383934014,1.867734873321295,train
QYPNKSZPJQQLRK,0.46630793515038826,0.00765820558985012,0.8603174336343735,train
QZCLKYGREBVARF,0.20113004562525208,0.010281015085877322,0.6408402015044845,train
QZXATCCPQKOEIH,0.5419538624325788,0.004333659309072564,1.5203058914924845,test
RCLXAPJEFHPYEG,0.46307552270125824,0.00766234017854976,0.859853207476787,test
RDCAZFAKCIEASQ,0.4652740401036033,0.007658205589848015,0.86031743363461,test
RDJQCOBTKKAQAH,0.7548952020757052,0.07367446276759565,0.08942702168168497,test
RFHAOTPXVQNOHP,0.963512909151858,0.004410884432378944,1.4936885969943372,test
RGOVYLWUIBMPGK,0.3043673138282042,0.1622799972303684,0.04059950635783796,train
RIZMRRKBZQXFOY,0.30276646690457804,0.16227999723032083,0.04059950635784986,valid
RJKCKKDSSSRYCB,0.7069164352028119,0.007223011368524052,0.9121524864290167,train
RQDJADAKIFFEKQ,0.5398598467001919,0.004333659309073046,1.520305891492315,test
RQUXYBHREKXNKT,0.642760989048867,0.03898229322770247,0.1690123190244285,train
RQZAXGRLVPAYTJ,0.9082867747334906,0.01075751034533262,0.6124547007442877,valid
RRKTZKIUPZVBMF,1.6253202677861902,0.0050497830559298,1.3047070946082755,train
RRNIZKPFKNDSRS,0.30564878647048177,0.1622799972303684,0.04059950635783796,train
RRVIAQKBTUQODI,1.7938650562480922,0.010812516293312938,0.609338992014186,train
RXCPQSJAVKGONC,0.7607665994946025,0.07367446276759565,0.08942702168168497,valid
RXZBMPWDPOLZGW,0.20113004562525208,0.010281015085877322,0.6408402015044845,train
RYVIXQCRCQLFCM,0.6841921679928644,0.004617751738825008,1.4267739263481316,train
RZILCCPWPBTYDO,0.6021542695906453,0.011490474408651124,0.5733869242460369,train
SAPGTCDSBGMXCD,1.326496620063856,0.004355505111636078,1.512680529682447,train
SCABKEBYDRTODC,0.20113004562525208,0.010281015085877322,0.6408402015044845,valid
SDMSCIWHRZJSRN,0.44359138959570527,0.018739272751894766,0.35158716490948627,test
SGUAFYQXFOLMHL,0.7713124112988239,0.03112504419008322,0.21167802169429312,test
SJDACOMXKWHBOW,1.4048101943130038,0.00305586308312704,2.156015371134469,test
SLDQOBRACOQXGE,2.001609999147466,0.0040167973033613065,1.6402340675221372,train
SNHRLVCMMWUAJD,0.4235165660230359,0.01813183786223388,0.3633656901944386,train
SNPPWIUOZRMYNY,1.2862006591360637,0.013456201795809416,0.48962462656855227,train
