record_id,file,series,parent_key,first_failed_rule,reason
MSBNK-EAWAG-ED061652,MSBNK-EAWAG-ED061652.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061653,MSBNK-EAWAG-ED061653.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061654,MSBNK-EAWAG-ED061654.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061655,MSBNK-EAWAG-ED061655.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061656,MSBNK-EAWAG-ED061656.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061657,MSBNK-EAWAG-ED061657.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061658,MSBNK-EAWAG-ED061658.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED061659,MSBNK-EAWAG-ED061659.txt,MSBNK-EAWAG-ED,GKSSZFHZBNEQFN,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-ED063901,MSBNK-EAWAG-ED063901.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED063902,MSBNK-EAWAG-ED063902.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED063903,MSBNK-EAWAG-ED063903.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED063904,MSBNK-EAWAG-ED063904.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED063905,MSBNK-EAWAG-ED063905.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED063906,MSBNK-EAWAG-ED063906.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED063907,MSBNK-EAWAG-ED063907.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H12,not the frozen representative of its scaffold group
MSBNK-EAWAG-ED063908,MSBNK-EAWAG-ED063908.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H11,NCE outside the frozen grid
MSBNK-EAWAG-ED063909,MSBNK-EAWAG-ED063909.txt,MSBNK-EAWAG-ED,OHHAWMYRUPJTKQ,H11,NCE outside the frozen grid
