group_key,ce_numeric,mu,source
BATVZJPOLFSGTD,75.0,0.32950082635895506,WUR
BATVZJPOLFSGTD,90.0,0.3028251081253845,WUR
BCQMBFHBDZVHKU,30.0,0.8529012441844946,WUR
BCQMBFHBDZVHKU,45.0,0.691078418200795,WUR
BCQMBFHBDZVHKU,60.0,0.5369410425012466,WUR
BCQMBFHBDZVHKU,75.0,0.4109244189271407,WUR
BCQMBFHBDZVHKU,90.0,0.34179102082704876,WUR
BEGLCMHJXHIJLR,30.0,0.969422267335435,WUR
BEGLCMHJXHIJLR,45.0,0.8807688363789538,WUR
BEGLCMHJXHIJLR,60.0,0.7406190856248809,WUR
BEGLCMHJXHIJLR,75.0,0.61663817073911,WUR
BEGLCMHJXHIJLR,90.0,0.5364192371960217,WUR
BEMXOWRVWRNPPL,30.0,0.5283291906877352,WUR
BEMXOWRVWRNPPL,45.0,0.5200931298585107,WUR
BEMXOWRVWRNPPL,60.0,0.4948917462648741,WUR
BEMXOWRVWRNPPL,75.0,0.45051788236946666,WUR
BEMXOWRVWRNPPL,90.0,0.4016411677508209,WUR
BFYIZQONLCFLEV,30.0,0.5412609089987896,WUR
BFYIZQONLCFLEV,45.0,0.44855488269756494,WUR
BFYIZQONLCFLEV,60.0,0.4136428697155486,WUR
BFYIZQONLCFLEV,75.0,0.38676240864472977,WUR
BFYIZQONLCFLEV,90.0,0.36694878081547255,WUR
BGHDUTQZGWOQIA,30.0,0.5340015031641926,WUR
BGHDUTQZGWOQIA,45.0,0.4346020106314465,WUR
BGHDUTQZGWOQIA,60.0,0.4001545191748762,WUR
BGHDUTQZGWOQIA,75.0,0.3776643769606908,WUR
BGHDUTQZGWOQIA,90.0,0.3590256677702598,WUR
BNRNXUUZRGQAQC,30.0,0.5962789244239063,WUR
BNRNXUUZRGQAQC,45.0,0.2649825012933185,WUR
BNRNXUUZRGQAQC,60.0,0.18931932228575424,WUR
BNRNXUUZRGQAQC,75.0,0.18573888577161085,WUR
BNRNXUUZRGQAQC,90.0,0.1749271068808361,WUR
BPFYOAJNDMUVBL,30.0,0.3969097072342743,WUR
BPFYOAJNDMUVBL,45.0,0.2341030349034015,WUR
BPFYOAJNDMUVBL,60.0,0.22866514308677577,WUR
BPFYOAJNDMUVBL,75.0,0.2356500271323463,WUR
BPFYOAJNDMUVBL,90.0,0.24531339020441686,WUR
BQJCRHHNABKAKU,30.0,0.9853743470540274,WUR
BQJCRHHNABKAKU,45.0,0.8930005149759153,WUR
BQJCRHHNABKAKU,60.0,0.6673252648722487,WUR
BQJCRHHNABKAKU,75.0,0.5691056016310138,WUR
BQJCRHHNABKAKU,90.0,0.5288781882642799,WUR
BTHCJHQOYFUIMG,30.0,0.8747627156560958,WUR
BTHCJHQOYFUIMG,45.0,0.6301399878331089,WUR
BTHCJHQOYFUIMG,60.0,0.4153269830615391,WUR
BTHCJHQOYFUIMG,75.0,0.344740376437889,WUR
BTHCJHQOYFUIMG,90.0,0.30593681947260987,WUR
BULVZWIRKLYCBC,30.0,0.29889250714926435,WUR
BULVZWIRKLYCBC,45.0,0.28465939596898665,WUR
BULVZWIRKLYCBC,60.0,0.26989956378038715,WUR
BULVZWIRKLYCBC,75.0,0.2525532730089441,WUR
BULVZWIRKLYCBC,90.0,0.24013243492576444,WUR
BZGLBXYQOMFXAU,30.0,0.7786861201607863,WUR
