accession,num_peak,precursor_type,precursor_mz,ion_mode,ce_value,key,parent_charge,mh_mz_from_parent,in_tree_2023_11
MSBNK-BAFG-CSL23111010701,7,[M-H]-,264.9829,NEGATIVE,80.0,KQEKLTCGLCEOFY,0,266.997411322812,True
MSBNK-BAFG-CSL23111017214,11,[M-H]-,380.0828,NEGATIVE,40.0,SXSGXWCSHSVPGB,0,382.097329570812,True
MSBNK-BAFG-CSL23111010864,9,[M+H]+,208.1332,POSITIVE,20.0,FRZJZRVZZNTMAW,0,208.133205250812,True
MSBNK-BAFG-CSL23111010843,12,[M+H]+,321.1403,POSITIVE,110.0,RDLZJCXTAYHYHX,0,321.140278388812,True
MSBNK-BAFG-CSL23111017562,12,[M+H]+,198.135,POSITIVE,90.0,NFMIMWNQWAWNDW,0,198.13493656681197,True
MSBNK-BAFG-CSL23111012179,3,[M-H]-,286.9439,NEGATIVE,20.0,XEFQLINVKFYRCS,0,288.95843897081204,True
MSBNK-BAFG-CSL23111015052,7,[M+HCOO]-,512.2994,NEGATIVE,50.0,VXUOFDJKYGDUJI,0,468.3084659088119,True
MSBNK-BAFG-CSL23111013723,2,[M-H]-,263.0608,NEGATIVE,20.0,QPPBRPIAZZHUNT,0,265.07537309081204,True
MSBNK-BAFG-CSL23111015847,5,[M]+,333.1767,POSITIVE,70.0,QKMNVQGPFDVZTK,1,334.183940348902,True
MSBNK-BAFG-CSL23111015166,6,[M-H]-,393.0668,NEGATIVE,10.0,WYEHFWKAOXOVJD,0,395.081345158812,True
MSBNK-BAFG-CSL25011734251,16,[M+H]+,198.1026,POSITIVE,90.0,QPQKUYVSJWQSDY,0,198.102573818812,False
MSBNK-BAFG-CSL23111027010,10,[M+H]+,244.0928,POSITIVE,80.0,UHDGCWIWMRVCDJ,0,244.092796982812,True
MSBNK-BAFG-CSL23111012215,2,[M-H]-,227.9124,NEGATIVE,20.0,HECJMTPEVWQFCY,0,229.926973314812,True
MSBNK-BAFG-CSL23111012455,5,[M+H]+,407.221,POSITIVE,30.0,OJMMVQQUTAEWLP,0,407.2210342748119,True
